t_wall,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,ax_ref,ay_ref,az_ref,x_meas,y_meas,z_meas,vx_meas,vy_meas,vz_meas
1774216110.661079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019461754709482193,0.031722668558359146,0.012936661951243877,-0.005536353739955282,-0.005372310783397035,-0.007562303462226754
1774216110.7111719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019533416256308556,0.031675226986408234,0.013035710901021957,0.001961186871549777,-0.007342232071586493,-0.0015280254679265067
1774216110.761219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019486550241708755,0.031658560037612915,0.012963073328137398,-0.004410981061721443,-0.0027207598453843625,-0.00035827588792463195
1774216110.8112118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019511770457029343,0.031758587807416916,0.013019093312323093,-0.0036875362701322507,0.014415160100678162,0.004274435357814472
1774216110.8611887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019536161795258522,0.03165083006024361,0.012975179590284824,0.0031878181177118015,-0.006053019898042407,0.001631240377895725
1774216110.911139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019523514434695244,0.03177863731980324,0.013006624765694141,0.0015115885179283063,0.006768779754077267,-0.0019596236747245256
1774216110.961204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019528739154338837,0.03165090084075928,0.013006300665438175,0.0012054419133053398,-0.001794358440472908,-0.0015897920129850224
1774216111.0112002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019494030624628067,0.031684860587120056,0.01297819335013628,-0.0030909862392303083,0.0014835176449465642,0.0006547173508510345
1774216111.0612824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019542325288057327,0.03167061507701874,0.013022009283304214,0.001109637040439959,-0.0016051262956979836,0.0006764435133919873
1774216111.1111975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019504910334944725,0.03175273910164833,0.013021532446146011,2.303276914011016e-05,-0.005196272141350714,0.005016080434500284
1774216111.1612005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019530965015292168,0.031781721860170364,0.013037014752626419,0.0010594114157632627,0.00888248488497233,0.0035144344943710774
1774216111.211189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019502446055412292,0.0317225344479084,0.012968868017196655,-0.0031726100619872766,0.0036643060863543087,-0.0011043039059165816
1774216111.2611911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01952117495238781,0.03166896104812622,0.012988005764782429,-0.002620606959253466,-0.004223588160610177,-0.00037091746062097334
1774216111.3112464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01953461952507496,0.03170956298708916,0.012992819771170616,0.0034095445009996884,-0.0007989699280675937,0.002210237222773048
1774216111.361205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01951785758137703,0.031748317182064056,0.012974289245903492,0.007037334073231074,0.004223135989700153,0.00394500774862981
