t_wall,x_ref,y_ref,z_ref,x_meas,y_meas,z_meas,vx_meas,vy_meas,vz_meas
1774214031.380425,0.0,0.0,0.6,0.026648230850696564,0.03402883931994438,0.008574358187615871,-0.0005491536522758739,-0.004543477948508372,-2.128220513954198e-05
1774214031.4304388,0.0,0.0,0.6,0.02664576657116413,0.034038443118333817,0.008572055026888847,-0.00034003127346492456,0.002559028463231717,-0.003657443064556585
1774214031.4804373,0.0,0.0,0.6,0.026661382988095284,0.034019049257040024,0.008617966435849667,0.00242629308756385,-0.0026643694039914733,0.0025986811940574284
1774214031.5304205,0.0,0.0,0.6,0.02665206417441368,0.03405863046646118,0.008579427376389503,0.0017845003653832877,0.0023605387566959847,-0.00450235753689891
1774214031.5804145,0.0,0.0,0.6,0.02664037235081196,0.03401726856827736,0.0086009930819273,-0.001161938098548478,-0.0017199483298037995,-0.0011064614007332502
1774214031.6304076,0.0,0.0,0.6,0.026652615517377853,0.03403722494840622,0.008599691092967987,0.0020854134715074944,0.0011575071686626929,-0.0006791464862744163
1774214031.6803904,0.0,0.0,0.6,0.026656650006771088,0.034025032073259354,0.008607042022049427,0.0017998618086178795,0.00035093795888459803,-0.0016786532366646605
1774214031.7304068,0.0,0.0,0.6,0.0266475398093462,0.034035902470350266,0.00858619436621666,8.336326285102585e-05,-0.0014767698671171398,-0.000905283697407008
1774214031.7804694,0.0,0.0,0.6,0.02664169669151306,0.034002646803855896,0.008597727864980698,-0.0007508399747798255,-0.003291077481826947,-0.0037299251011745716
1774214031.8306162,0.0,0.0,0.6,0.026658719405531883,0.034065041691064835,0.008619207888841629,0.0002716775853057292,0.0009145404880845035,0.002102995695741088
1774214031.8804424,0.0,0.0,0.6,0.026649100705981255,0.03403320908546448,0.008600082248449326,0.0008264057921774923,-0.0016355373694417795,-0.002612816889744182
1774214031.930454,0.0,0.0,0.6,0.02666940912604332,0.034073133021593094,0.008595699444413185,0.0009366220243331198,0.004312597812986188,0.0009143144650784981
1774214031.9804478,0.0,0.0,0.6,0.026636671274900436,0.03402186930179596,0.008633304387331009,-0.0029945774651971347,-0.004704661026971178,0.0010794240026178524
1774214032.030413,0.0,0.0,0.6,0.02665981650352478,0.034050580114126205,0.008573482744395733,0.0013393840003296097,-0.0022323066672160163,-0.004538032621509557
1774214032.0803926,0.0,0.0,0.6,0.026648767292499542,0.03403027355670929,0.00861900020390749,0.000818971125625108,-0.00112714797653075,-0.0008002856901247946
1774214032.1304119,0.0,0.0,0.6,0.026630116626620293,0.034032437950372696,0.008595163933932781,-0.0010008034745265766,-0.00573531286280813,0.0010768884635813743
1774214032.180599,0.0,0.0,0.6,0.026648979634046555,0.03407630696892738,0.008620940148830414,-0.0011108922597239984,0.0011076131418697786,-0.0033403280541651746
1774214032.2304363,0.0,0.0,0.6,0.02663908340036869,0.03403480723500252,0.008588649332523346,0.00018161426827253147,-0.003840393047065243,0.0017223598391194674
1774214032.2804494,0.0,0.0,0.6,0.026669707149267197,0.03405946120619774,0.00856443215161562,0.0020210340646819296,0.0017193292810979098,-0.003425818095288845
1774214032.3304486,0.0,0.0,0.6,0.02665553241968155,0.03400915116071701,0.008626268245279789,0.0004961032130955102,-0.002441159988165025,0.0006066793477465291
1774214032.3804035,0.0,0.0,0.6,0.026644140481948853,0.03406895697116852,0.008586694486439228,-0.0010176114981802094,0.0014381814265005239,-0.0003422372178694795
1774214032.430388,0.0,0.0,0.6,0.02665046788752079,0.03403409942984581,0.00861324928700924,-0.00040819854005677564,-0.0006796477745901952,-0.0011276228497004266
1774214032.4804113,0.0,0.0,0.6,0.02665518783032894,0.03403107076883316,0.00858879555016756,0.00047349170593841876,-0.0025248628748204206,0.0015847842839321529
1774214032.5304227,0.0,0.0,0.6,0.02665429748594761,0.0340522862970829,0.008608430624008179,6.600103888711528e-05,0.0032459832966798786,-0.00043003219263596437
1774214032.5804393,0.0,0.0,0.6,0.026637887582182884,0.034034017473459244,0.008599916473031044,-0.001291634924990202,-0.0017360977832818986,0.0024418174991629902
1774214032.6305141,0.0,0.0,0.6,0.026670213788747787,0.0340450182557106,0.008591006509959698,0.0029326111000252766,0.0018961637425941927,-0.002978419295178347
1774214032.6804445,0.0,0.0,0.6,0.026633836328983307,0.03402681276202202,0.008592984639108181,-0.0006466479742138647,-0.0008166885217158193,0.0017266876758263833
1774214032.7303712,0.0,0.0,0.6,0.026647008955478668,0.034048061817884445,0.008611777797341347,-0.0013511451348602243,0.002805436909260718,0.004010394435507803
1774214032.7804263,0.0,0.0,0.6,0.02665645070374012,0.034050460904836655,0.008584157563745975,0.0017477818311853227,0.0018262550984103202,-0.0017585543890744685
1774214032.8304172,0.0,0.0,0.6,0.026636814698576927,0.03400171175599098,0.008600187487900257,-0.0018188872086010086,-0.00212647626502786,0.002564918611954144
1774214032.8805914,0.0,0.0,0.6,0.02665017545223236,0.03404771536588669,0.008596140891313553,-0.0007510136556353041,0.0015444664246336804,0.0004997503068922541
1774214032.930422,0.0,0.0,0.6,0.026655573397874832,0.03401532396674156,0.008593330159783363,-0.0008880598947594,-0.0017313340103434335,0.0012046226244861343
1774214032.9804049,0.0,0.0,0.6,0.026667071506381035,0.034046053886413574,0.00858584325760603,0.0030494808773148863,-0.0017403394148238452,-0.0007474428640552135
1774214033.0304205,0.0,0.0,0.6,0.026641981676220894,0.034063670784235,0.008601927198469639,-0.0006487110900828799,0.002015841260191756,-0.00044954540453111854
1774214033.0804107,0.0,0.0,0.6,0.026650063693523407,0.034043408930301666,0.008613637648522854,-0.004044047098284164,5.161295539373986e-05,0.013404658710085149
1774214033.130364,0.0,0.0,0.6,0.02666172757744789,0.034073639661073685,0.008576116524636745,0.0013172530472870619,0.003361622651575582,-0.004024702363343816
1774214033.180433,0.0,0.0,0.6,0.02665071375668049,0.034014202654361725,0.008609396405518055,0.00014525221528923673,-0.00203007674020177,0.002583192340039797
1774214033.230402,0.0,0.0,0.6,0.02665562555193901,0.03408542275428772,0.008617871440947056,-0.0001859901364226674,0.004484876705523268,-0.0005052828009625098
1774214033.2804382,0.0,0.0,0.6,0.026638604700565338,0.03403626009821892,0.008585995994508266,-0.0005580563280303951,0.0015753802223492678,-0.0015721437730566309
1774214033.3304417,0.0,0.0,0.6,0.026639852672815323,0.03404932841658592,0.008627736940979958,0.00011170327215101847,-0.0015416506974067273,0.0015612078663908224
1774214033.3803809,0.0,0.0,0.6,0.026662781834602356,0.03404632583260536,0.008607813157141209,0.0018397288993807022,0.00100039766359828,-0.001964907391787696
1774214033.4304123,0.0,0.0,0.6,0.02664557844400406,0.03402755409479141,0.008605295792222023,0.00016588383229908807,-0.00023603197964067518,0.002064931692092426
1774214033.480425,0.0,0.0,0.6,0.02663579396903515,0.0340316966176033,0.008600704371929169,-0.0017124322064276181,-0.0015709348702373082,-0.001997565060777336
1774214033.530408,0.0,0.0,0.6,0.026641935110092163,0.03405271843075752,0.008593292906880379,-0.0010746463161529379,0.0018854381192941702,-0.0014378468603795768
1774214033.5804052,0.0,0.0,0.6,0.02664295956492424,0.03401454538106918,0.008611869066953659,-0.0011581044127680776,-0.004615535127545981,-0.0035339525877178955
1774214033.6304228,0.0,0.0,0.6,0.026656275615096092,0.03404540196061134,0.008613568730652332,0.004131909494888236,-0.002381813372163062,0.0036856821266716324
1774214033.6804104,0.0,0.0,0.6,0.026639249175786972,0.03399922698736191,0.008616512641310692,-0.00168192890492612,-0.00651378446755028,0.003936588313447342
1774214033.7304175,0.0,0.0,0.6,0.026663165539503098,0.03406781703233719,0.008585995994508266,0.0012775239755387284,0.0008448922076062887,-0.0015625499327839231
1774214033.7803848,0.0,0.0,0.6,0.026652120053768158,0.03402792662382126,0.008642037399113178,0.001851675629096952,-0.0009875603355183743,0.005231960849695835
1774214033.8303874,0.0,0.0,0.6,0.026639919728040695,0.03404693305492401,0.00860548298805952,-0.0017430046874029631,-0.0031744742904299236,0.00248479549506103
1774214033.8804357,0.0,0.0,0.6,0.026639077812433243,0.03404044732451439,0.008607087656855583,-0.0005861980586707992,0.002100800227605602,-9.503706525678643e-05
1774214033.9304256,0.0,0.0,0.6,0.026646826416254044,0.034036435186862946,0.00859785731881857,1.1189423958505686e-05,-0.00041773849445087897,0.003532128162901628
1774214033.9805634,0.0,0.0,0.6,0.026659362018108368,0.03405366092920303,0.008594943210482597,0.0017883536137164055,0.0013097995917938407,-0.003959567733772233
1774214034.0303879,0.0,0.0,0.6,0.026631856337189674,0.034026775509119034,0.008605637587606907,-0.0007645123969897317,-0.0021149262972140373,-0.00023608171704901743
1774214034.0804074,0.0,0.0,0.6,0.026655152440071106,0.03403734788298607,0.008573553524911404,0.0008932045262440003,0.0012797132429664898,-0.002227065027660424
1774214034.1304018,0.0,0.0,0.6,0.0266561321914196,0.03401925787329674,0.008581956848502159,0.0023048338709440322,-0.00036115071261056916,-0.003482053152786043
1774214034.1803842,0.0,0.0,0.6,0.02663368359208107,0.034022774547338486,0.008601653389632702,-0.0020636299272102664,-0.004875673546971594,-0.001060100167983592
1774214034.2302892,0.0,0.0,0.6,0.026646072044968605,0.03406249359250069,0.008593927137553692,0.0005348958879375862,0.0027454642827252243,0.0002574993106643239
1774214034.280381,0.0,0.0,0.6,0.026656117290258408,0.03403836861252785,0.008624191395938396,7.25993328612868e-05,0.0015249526533843022,0.0005646614778100085
1774214034.3302972,0.0,0.0,0.6,0.0266419630497694,0.03405657410621643,0.008597069419920444,-0.00045938256590524805,0.0005985405595537384,0.0009028255418044271
1774214034.3803484,0.0,0.0,0.6,0.02664889208972454,0.03403085097670555,0.008617078885436058,-0.0006447720130774894,0.00023802581085148548,4.614422530728648e-05
1774214034.4304154,0.0,0.0,0.6,0.026642436161637306,0.034028127789497375,0.008622952736914158,-0.0003986478109799719,-0.001468056368267342,-0.0006063916366781806
1774214034.480374,0.0,0.0,0.6,0.026654187589883804,0.03405481576919556,0.00860589649528265,0.0002845067665524259,0.011192129090667205,-0.0008231193750055063
1774214034.5303795,0.0,0.0,0.6,0.026637043803930283,0.034002840518951416,0.008633707650005817,-0.0007414288063378408,-0.004386113523320686,0.0049321732673343706
1774214034.5805626,0.0,0.0,0.6,0.02665034309029579,0.03405959904193878,0.008610574528574944,-0.0011933120177785265,0.0025065288560750377,1.387787274513715e-06
1774214034.6304255,0.0,0.0,0.6,0.02664015255868435,0.034011803567409515,0.008631771430373192,-0.000421677991950089,-0.0005247395914466337,0.003533589549460567
1774214034.6803434,0.0,0.0,0.6,0.026656806468963623,0.034060943871736526,0.008586075156927109,0.00029814578524243535,8.0039136977835e-06,0.0005544529307010025
1774214034.730391,0.0,0.0,0.6,0.026642505079507828,0.034012023359537125,0.008650836534798145,-0.00010551732245064876,-0.0012809557148085414,0.0013182642522806924
1774214034.7803233,0.0,0.0,0.6,0.026635732501745224,0.03406441584229469,0.008588237687945366,-0.0021459925966376484,-0.00042694049393244356,0.004639286868465663
1774214034.8302774,0.0,0.0,0.6,0.02666066400706768,0.03399017080664635,0.008602967485785484,0.0019278258498380912,-0.0018476297626054167,-0.0032588606798119777
1774214034.8804977,0.0,0.0,0.6,0.026640404015779495,0.034042760729789734,0.008580375462770462,-0.002008341666314322,-0.005161320482720606,-0.0010207841251268584
1774214034.9304032,0.0,0.0,0.6,0.026639340445399284,0.03401299938559532,0.00864963699132204,-0.00161362808595236,-0.0008320673040882972,0.0018095712725376193
1774214034.9803827,0.0,0.0,0.6,0.02664784900844097,0.034071777015924454,0.008557207882404327,0.0015005648147397503,0.0015163388090622095,-0.0016713649468119702
1774214035.030441,0.0,0.0,0.6,0.026658127084374428,0.03402705118060112,0.008652158081531525,0.00013066289927378738,0.0011478995140171899,0.002817389283889941
1774214035.0803728,0.0,0.0,0.6,0.02665499970316887,0.03405487537384033,0.008534359745681286,0.0017761265861529244,-0.0018323588796532876,-0.004324152385388139
1774214035.1303759,0.0,0.0,0.6,0.026650723069906235,0.034001659601926804,0.008643997833132744,-0.0007307734026898628,-0.00464264558381329,0.0028832891669387604
1774214035.1803699,0.0,0.0,0.6,0.026671404018998146,0.03406538814306259,0.008564854972064495,0.003180389967750698,0.00033746961098266286,-0.0011309013644456363
1774214035.2302666,0.0,0.0,0.6,0.02666477859020233,0.03403816372156143,0.00859843473881483,0.0023458685974769677,0.00498943904713043,-0.0041291466873617805
