t_wall,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,ax_ref,ay_ref,az_ref,x_meas,y_meas,z_meas,vx_meas,vy_meas,vz_meas
1774216609.5598369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05330108478665352,0.03847120702266693,0.013322757557034492,0.00043250270236512486,0.000832336891907925,0.0004549623049304731
1774216609.6293132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05322599783539772,0.03843791410326958,0.013218064792454243,-0.008434772194510668,-0.0021901744736363,-0.010386859100036637
1774216609.6600316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053220029920339584,0.03845203295350075,0.013239139690995216,-0.007376000826660335,-0.0008262330047329917,-0.007868016103542383
1774216609.7099893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05330745875835419,0.03848864883184433,0.01332857832312584,0.008082388424864488,0.003561134748881698,0.00854949830751001
1774216609.759827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05324847996234894,0.03844848647713661,0.013253294862806797,0.0005771383231337248,-0.0009961974156416748,0.0022328691325890684
1774216609.8100488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05330006405711174,0.03847448527812958,0.013301023282110691,-0.00014619522287164256,-8.14620147344476e-05,-8.764439978125835e-05
1774216609.859943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053296804428100586,0.038478951901197433,0.013348322361707687,0.0072088063709697,0.0022262271275768856,0.015350915653115865
1774216609.9100208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05326806381344795,0.038475796580314636,0.013268032111227512,-0.003505860512997869,0.0007423402335454576,-0.004017633665647387
1774216609.9599395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053279053419828415,0.03847828134894371,0.013305459171533585,0.005874668628780696,0.003110612232837369,0.0068560600395219575
1774216610.0101597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05326063930988312,0.03845435008406639,0.01328247133642435,-0.003883299358601069,0.003211483480048853,-0.010077783483379473
1774216610.059939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0533076748251915,0.03847702592611313,0.013317284174263477,0.0017474302277255774,-0.001946987058693383,-0.0101127479453554
1774216610.1098754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0532941110432148,0.03845144808292389,0.013304258696734905,0.007041235034418644,0.0003454353712814467,0.005209680230487184
1774216610.159976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05326767638325691,0.03844191133975983,0.013283203355967999,-0.0037501141163064277,-0.0029070103768425912,-0.005444190327701832
1774216610.2099736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05333685502409935,0.03833438456058502,0.013301226310431957,0.0034993927853467777,-0.011235773097845281,-0.0007355036226915843
