t_wall,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,ax_ref,ay_ref,az_ref,x_meas,y_meas,z_meas,vx_meas,vy_meas,vz_meas
1776646536.4280763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01179952546954155,0.009427514858543873,0.011115829460322857,-0.013094601537851044,0.006087482997166788,0.027916671600540125
1776646536.4779553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011775174178183079,0.009390421211719513,0.011164938099682331,-0.0012505760998732433,-0.004874636022107335,0.00476159534858459
1776646536.5279708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011849403381347656,0.009437843225896358,0.01100183092057705,0.00557210553033953,0.00010377987640204546,-0.017292849641380757
1776646536.5779219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011778191663324833,0.009422528557479382,0.011134052649140358,-0.00502419916655878,0.001880443576006042,0.01678936001449672
1776646536.6279452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011785526759922504,0.009431884624063969,0.011157559230923653,0.0009737631272073443,-0.0014760974514520684,0.0016823894139419017
1776646536.6779566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011802392080426216,0.009423374198377132,0.011111276224255562,0.0015921435303199445,0.000450362089169706,-0.0029782981532775737
1776646536.7279534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011913272552192211,0.009369904175400734,0.01085906382650137,0.013326612833038244,-0.008125252782118775,-0.027170026862138073
1776646536.7779546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01179515104740858,0.009442339651286602,0.011140070855617523,0.0017441102744227609,0.0030088421723526034,-3.054556625247464e-05
1776646536.827955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011816522106528282,0.00939074344933033,0.01096594613045454,-0.0004004832590898067,-0.001256731754001302,-0.0009372161489352002
1776646536.877956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011792056262493134,0.009404895827174187,0.011154958046972752,0.0015957148609079836,-0.002097478958207616,0.003305436635645798
1776646536.9280849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01182585395872593,0.009408293291926384,0.010993292555212975,0.001832280768204555,0.000690663312204935,-0.001723913519041991
1776646536.9780495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011900017969310284,0.009362692013382912,0.01085276436060667,0.012618456400380505,-0.006004822314943694,-0.028116667023573506
1776646537.0280328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011791037395596504,0.009436876513063908,0.011153344064950943,0.0016354478827442878,0.003910057921937332,0.0027686474651805217
1776646537.0780067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011765592731535435,0.009371133521199226,0.011125597171485424,-0.0017369423869842274,-0.0012932643887640354,-2.4904046710371178e-05
1776646537.128017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011770566925406456,0.009405373595654964,0.011143382638692856,-0.0014210325247729439,-0.003570061978562063,0.003640713006190446
1776646537.1779947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011776275001466274,0.009414192289113998,0.011149834841489792,0.06187709685329353,0.015249084506071169,0.00485627767825523
1776646537.2281392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011912709102034569,0.009372582659125328,0.010859362781047821,0.007221543450966717,-0.005887364994545575,-0.010695431694080864
1776646537.278047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01176565233618021,0.009456404484808445,0.01115737296640873,-0.0014867669027573186,0.005984926828447706,0.001826194369267394
1776646537.328074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01179281622171402,0.00942568201571703,0.011145029217004776,0.0012986014284495362,0.0008180690176660331,-0.00013223688568680974
1776646537.3781433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011822424829006195,0.009420566260814667,0.01098683848977089,0.0019115614684004295,-0.0008144226459083257,-0.01077822474591639
1776646537.4281476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011788190342485905,0.009408966638147831,0.011134723201394081,-0.0020638940992534103,0.00012123536091712504,0.009878058063982224
1776646537.478143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011920798569917679,0.009394240565598011,0.010838300921022892,0.014302368054949789,-0.004755640679512456,-0.0346453944518241
1776646537.52808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011812371201813221,0.009400362148880959,0.011009545996785164,-0.0009932939172040765,0.0017200700890802549,0.00010134545200562207
1776646537.57811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011815677396953106,0.009418598376214504,0.010998801328241825,0.0064524444881434795,-3.2252993421515455e-05,-0.01492827857563432
1776646537.6284363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011827531270682812,0.009425791911780834,0.010990151204168797,0.005711394279688352,0.001308939786827028,-0.015919928397801826
