t_wall,x_ref,y_ref,z_ref,x_meas,y_meas,z_meas,vx_meas,vy_meas,vz_meas
1774143666.5857265,0.0,0.0,0.6,0.021832939237356186,0.032347261905670166,0.008597048930823803,-0.002902547888783205,0.0029944709173229615,-0.0024490514616064196
1774143666.6357245,0.0,0.0,0.6,0.021767187863588333,0.03227468207478523,0.008632858283817768,-0.009605673670774573,-0.017311601183921107,0.00013998503574068582
1774143666.6857278,0.0,0.0,0.6,0.02183850109577179,0.03229806572198868,0.008595960214734077,-0.0012156922658300522,-0.0030594525515801317,-0.004769221594444133
1774143666.7357328,0.0,0.0,0.6,0.021776597946882248,0.032289933413267136,0.008638820610940456,-0.009835206972860713,-0.00020414265859411293,-0.0018856683886371796
1774143666.785813,0.0,0.0,0.6,0.021753448992967606,0.03224717825651169,0.00863049365580082,-0.0030950796238748673,-0.008511278052775063,-0.006482160498965908
1774143666.8357759,0.0,0.0,0.6,0.021851452067494392,0.03229690343141556,0.008644514717161655,-0.0008988031697202533,-0.0021849358821928806,0.0009698871527562421
1774143666.8857598,0.0,0.0,0.6,0.021788008511066437,0.03229210525751114,0.008643288165330887,-0.009231322481895064,-0.005458687199392223,-0.00022202774943026502
1774143666.9358008,0.0,0.0,0.6,0.021771317347884178,0.03230312839150429,0.008635694161057472,-0.007804942032419195,-0.002896589928347436,-0.0015019129884684009
1774143666.9857283,0.0,0.0,0.6,0.02178124710917473,0.032341621816158295,0.008662507869303226,-0.001119071584013714,-0.00231605441772103,0.001266722903555004
1774143667.0357418,0.0,0.0,0.6,0.021869564428925514,0.03233740106225014,0.008648314513266087,0.00018930484895879582,-0.0025540111825627368,0.0022570309434434294
1774143667.0857267,0.0,0.0,0.6,0.021799806505441666,0.03234478831291199,0.008654197677969933,-0.006564385483222322,0.00018149541555793276,0.0044666130232203
1774143667.1357203,0.0,0.0,0.6,0.021865159273147583,0.032349973917007446,0.008636659942567348,0.0008396728538174792,0.0017945371862481574,0.000701572640449406
1774143667.185818,0.0,0.0,0.6,0.021785439923405647,0.03237341344356537,0.008612805977463722,-0.007493398474584771,0.0020709394713892396,-0.0026283271834047785
1774143667.2358055,0.0,0.0,0.6,0.021810494363307953,0.03237829729914665,0.00862722098827362,-0.004193199029430646,0.006867928819407427,0.001708596900528342
1774143667.2857912,0.0,0.0,0.6,0.02179546095430851,0.03230994939804077,0.008607030846178532,-0.00543125018441838,-0.002807262206200207,-0.0003690432883868607
1774143667.3358536,0.0,0.0,0.6,0.021862909197807312,0.03231939673423767,0.00864548422396183,0.00161268449626728,0.003684430004539642,-0.0018702258023519979
1774143667.3857782,0.0,0.0,0.6,0.02185475081205368,0.03231107071042061,0.008616343140602112,0.001797793470367263,0.0025828182732550915,-0.0005970208596075509
1774143667.4357762,0.0,0.0,0.6,0.021752208471298218,0.03232107684016228,0.008650831878185272,-0.0011232071417702106,0.006805355676054574,0.0023267449208948733
1774143667.4857132,0.0,0.0,0.6,0.021766729652881622,0.03225449472665787,0.00868459977209568,-0.006043416409473217,-0.0011384901398199929,0.006282320590383511
1774143667.5357134,0.0,0.0,0.6,0.0217446256428957,0.03220336139202118,0.008651050738990307,-0.02252122466803991,-0.02516271176562458,-0.00303175178530196
1774143667.5858352,0.0,0.0,0.6,0.021844234317541122,0.032310642302036285,0.008693255484104156,0.006643761142848518,0.0074296354757280875,0.0018422348247857168
1774143667.6357157,0.0,0.0,0.6,0.021878264844417572,0.032461315393447876,0.008632357232272625,0.000690002349234783,0.012300406318440494,-0.003050621926966096
1774143667.6857147,0.0,0.0,0.6,0.021853704005479813,0.032302215695381165,0.008664906956255436,-0.0020921949821241384,-0.0005600903693983757,0.0023158458269401877
1774143667.7356958,0.0,0.0,0.6,0.021854281425476074,0.03233509883284569,0.00863861944526434,0.005334271053192244,-0.0008399302894220525,0.001830398174320799
1774143667.785807,0.0,0.0,0.6,0.021849632263183594,0.032299503684043884,0.008668242953717709,0.006020683570917862,-0.00740383378171656,0.0014496729715450273
1774143667.8358283,0.0,0.0,0.6,0.021854732185602188,0.032324448227882385,0.008680405095219612,-0.000510334085186683,-0.002665135567716038,0.006876902912044374
1774143667.885814,0.0,0.0,0.6,0.02186611108481884,0.032338276505470276,0.008647223003208637,-0.0008622110520113528,-0.0040678316597023145,0.0041068243720524525
1774143667.935728,0.0,0.0,0.6,0.02186320349574089,0.03236594796180725,0.008626177906990051,0.00711715280847471,0.003910380457171438,0.0017240075260128312
1774143667.985839,0.0,0.0,0.6,0.02186616137623787,0.032347358763217926,0.008618602529168129,0.0010977764598859249,0.0003353934353603798,0.0020884611760376834
1774143668.0357177,0.0,0.0,0.6,0.021861610934138298,0.032348234206438065,0.008588600903749466,0.007443674081678835,0.0026357423783109064,-0.0017979446582098476
1774143668.0857131,0.0,0.0,0.6,0.021860595792531967,0.03236553817987442,0.008615097030997276,-0.0008748689593087473,0.001764159756934641,-0.0010484341064976592
1774143668.1357253,0.0,0.0,0.6,0.021791618317365646,0.03231070190668106,0.008634082973003387,-0.00434923952951594,-0.0011985422687799678,0.0014351993715852485
1774143668.1858213,0.0,0.0,0.6,0.021849751472473145,0.03235143795609474,0.008624188601970673,-0.001057140300582767,0.0058095268583193,-0.00015164364455397324
1774143668.2358305,0.0,0.0,0.6,0.021785272285342216,0.03230661898851395,0.008625557646155357,0.003359550275611262,0.0011122800760016143,-0.0026732970325270603
1774143668.2860293,0.0,0.0,0.6,0.021837575361132622,0.032366178929805756,0.008637532591819763,-0.0012854307614853235,0.004600489041105368,-0.0034802675433729755
1774143668.335821,0.0,0.0,0.6,0.021763622760772705,0.032290268689394,0.00861671194434166,0.00010531119276838144,0.004729879239102648,-0.004454625435621391
1774143668.3857377,0.0,0.0,0.6,0.021748356521129608,0.03230134770274162,0.00867456290870905,-0.0026279759383074333,0.0027219117835167836,0.0024606179057852415
1774143668.4357696,0.0,0.0,0.6,0.021750319749116898,0.032275959849357605,0.008688762784004211,-0.017259529639316793,-0.004768186904801789,0.0007656339536467609
1774143668.4860656,0.0,0.0,0.6,0.02185003086924553,0.032302550971508026,0.008657695725560188,0.007951806290308464,0.0016443472569516375,-0.0014800966124678158
1774143668.53581,0.0,0.0,0.6,0.021852953359484673,0.032309390604496,0.008674743585288525,-0.0013796019761231784,4.2894736917937926e-05,-0.001816949564615654
1774143668.5857244,0.0,0.0,0.6,0.021853528916835785,0.032338183373212814,0.00867526512593031,-0.002310724026309647,0.012228698312505656,0.006588540225084189
1774143668.6357255,0.0,0.0,0.6,0.02185140736401081,0.032305214554071426,0.008708848617970943,-0.0019332736276808883,-0.0005096166750681833,0.003497050395198115
1774143668.6858125,0.0,0.0,0.6,0.021838998422026634,0.03231388330459595,0.008687694557011127,-0.0003681500187791612,0.0008927729353115309,0.002467738457556443
1774143668.7357256,0.0,0.0,0.6,0.021755971014499664,0.03229939937591553,0.00871688686311245,-0.011675940560324725,-0.007518211071747942,0.009060956035912447
1774143668.785892,0.0,0.0,0.6,0.021860945969820023,0.03234104812145233,0.00866563431918621,0.00041430529223503187,0.0019695152914426224,0.0038848026235238156
1774143668.8356996,0.0,0.0,0.6,0.021769624203443527,0.03228992596268654,0.008671566843986511,-0.007234200030852188,-0.0034248794030596937,0.0016158594182992961
1774143668.8857293,0.0,0.0,0.6,0.021861040964722633,0.03234763443470001,0.008648188784718513,0.00020432737536198764,-0.002820245562883818,0.004698775657770874
1774143668.9358354,0.0,0.0,0.6,0.021859876811504364,0.03233026713132858,0.008692682720720768,0.001194178114184602,-0.001716989866698714,0.006289260322067928
1774143668.9857945,0.0,0.0,0.6,0.021784072741866112,0.03231826052069664,0.008655969053506851,-0.00792602397253367,-0.004715487064388077,-0.0002739866645645755
1774143669.0357375,0.0,0.0,0.6,0.021863672882318497,0.03235244005918503,0.008625313639640808,0.0015543032888440873,0.0024576012871433323,-0.00031545974358725707
1774143669.0858178,0.0,0.0,0.6,0.021863985806703568,0.03229954093694687,0.008639387786388397,7.856598915359622e-06,-0.007032370265511894,0.0012455387666838874
1774143669.1357255,0.0,0.0,0.6,0.021863330155611038,0.032362200319767,0.008622506633400917,0.00043941835277011565,0.0027502737921487374,-0.0016237794747852817
1774143669.1858025,0.0,0.0,0.6,0.02187850885093212,0.03233739733695984,0.008629044517874718,0.014568256329032726,0.003650473626871367,-0.0004801971851586934
1774143669.2358084,0.0,0.0,0.6,0.021759241819381714,0.03234017640352249,0.008591127581894398,-0.0009142608995463826,0.0032667801651873446,-0.0032012363743379657
1774143669.285829,0.0,0.0,0.6,0.021794088184833527,0.03235071897506714,0.008637226186692715,-0.004861880002408652,0.005108965381733564,0.0033905816013670032
1774143669.335713,0.0,0.0,0.6,0.02177366614341736,0.032308559864759445,0.008641666732728481,0.00015342184314323418,-0.000724993415637636,7.896712514725288e-05
1774143669.3857253,0.0,0.0,0.6,0.021773887798190117,0.03235029801726341,0.008621671237051487,-0.006655180892141096,0.003545121562995037,-0.000359491358813522
1774143669.4357255,0.0,0.0,0.6,0.0218605175614357,0.03239835053682327,0.008634030818939209,0.0024092687880375952,0.006845954027598775,-0.004231362799306864
1774143669.4858315,0.0,0.0,0.6,0.02183465287089348,0.03232157975435257,0.00860187504440546,-0.0012134876937460893,-6.918401902771318e-06,-0.006173030577771493
1774143669.5357962,0.0,0.0,0.6,0.021857595071196556,0.03234177082777023,0.008688845671713352,0.00037735915808998285,0.0020736636314245146,0.0027979274933736245
1774143669.5858812,0.0,0.0,0.6,0.021855229511857033,0.03231075406074524,0.008672903291881084,0.017160480003174345,0.002024086997795264,0.003196091917489732
1774143669.6358173,0.0,0.0,0.6,0.02178616262972355,0.03229615464806557,0.008654323406517506,0.0016150516564666633,0.00121548514250743,-0.002253596670113078
1774143669.6858377,0.0,0.0,0.6,0.021765178069472313,0.03227277845144272,0.00866545457392931,0.0009599726601279176,-0.0015050901496206509,-0.001406704434884096
1774143669.735726,0.0,0.0,0.6,0.021761415526270866,0.03228890150785446,0.00868944451212883,-0.008643155650801426,-0.005236919970912056,0.0022893244459343365
1774143669.7858114,0.0,0.0,0.6,0.02176366001367569,0.0322880782186985,0.008705425076186657,-0.009898393640980142,-0.0008992830166746841,0.006092043831859928
1774143669.8357503,0.0,0.0,0.6,0.021747075021266937,0.03222692757844925,0.008687513880431652,-0.010888448542548656,-0.008215878044402183,0.0027607692982824722
1774143669.8858767,0.0,0.0,0.6,0.0217802245169878,0.03232211619615555,0.008689354173839092,0.0006021693935343262,-0.0021656611963098557,0.001662865496910001
1774143669.9358704,0.0,0.0,0.6,0.021765705198049545,0.03228410333395004,0.008674860931932926,-0.010259324506510627,-0.006358213411435707,0.0057157143597927175
1774143669.9859674,0.0,0.0,0.6,0.021864252164959908,0.03232894837856293,0.008682452142238617,-0.0010030512358684533,-0.005175554502074794,0.0028970544249655294
1774143670.035839,0.0,0.0,0.6,0.02186134085059166,0.03231625258922577,0.008649066090583801,0.00023309873078297737,-0.0008448177481656734,0.005250855619742858
1774143670.085815,0.0,0.0,0.6,0.021770967170596123,0.03233747184276581,0.008649883791804314,-0.000832558091947391,-0.002918096776155354,0.003450392543634658
1774143670.1358058,0.0,0.0,0.6,0.02179623208940029,0.03236505389213562,0.008638886734843254,-0.006686613244757373,-0.0004940134695222598,-0.00023652934698785373
