t_wall,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,ax_ref,ay_ref,az_ref,x_meas,y_meas,z_meas,vx_meas,vy_meas,vz_meas
1778812692.3014944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101455794647336,0.031908635050058365,0.007637230213731527,0.03484756873887798,0.011079295785252487,0.011568710399962844
1778812692.3513117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009661785326898098,0.03168230876326561,0.0074507612735033035,0.0009256033781889815,-0.004649974996304809,0.0019487323954989649
1778812692.401438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009648852050304413,0.03176286444067955,0.007480273023247719,-0.05499463176633362,-0.018777557462717625,-0.017618112834515393
1778812692.4513092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00963772926479578,0.031695008277893066,0.007445196621119976,0.0001126758437259032,0.004682085698974109,-0.002937992157250247
1778812692.501408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009635121561586857,0.03171655535697937,0.007503741420805454,-0.0553808017631935,-0.02375263752447591,-0.011682384328775068
1778812692.5513756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00965782068669796,0.03172531723976135,0.007445219904184341,-0.03687059487263602,-0.012990958054180527,-0.013079722192296667
1778812692.6014419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009619400836527348,0.03171957656741142,0.007471412420272827,-0.05452276036307785,-0.01984974269676701,-0.014382945624529705
1778812692.6514592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01059103012084961,0.032025717198848724,0.007749371696263552,-0.0026189567454223996,-0.0012536333600036856,0.001973172837831155
1778812692.7014925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010546240955591202,0.031983036547899246,0.0076850284822285175,-0.00025031229565726515,-0.0014135144159935996,3.420836660980016e-05
1778812692.751405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009644960053265095,0.03171931207180023,0.0074793556705117226,-0.09734094584939172,-0.04945364784663445,-0.03383159202353621
1778812692.801415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010174421593546867,0.03190312534570694,0.00758944870904088,0.07124371379607213,0.03100837951354424,0.022444996291582198
1778812692.8514192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009633498266339302,0.03171883895993233,0.007447783835232258,-0.0002564276566192441,-0.0010397230667293941,-0.002492685735084634
1778812692.9013736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010157234966754913,0.03194393962621689,0.007601744960993528,0.0034831397639640852,0.0038116245879367848,-0.002151941413929661
1778812692.9514086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009645280428230762,0.03170277178287506,0.007523249369114637,0.002364865446681307,0.0040878136505647054,0.00789023277605763
1778812693.0014422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009634485468268394,0.03170091658830643,0.007477449253201485,-0.0545569756754802,-0.0221275054502436,-0.017192848604196613
1778812693.0514266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010147937573492527,0.03187543898820877,0.007621671538800001,0.0038290945570861167,-0.0007463832942878774,0.0017387232809128602
1778812693.10132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009612472727894783,0.03169655799865723,0.007448284421116114,-0.0026473800799008697,-0.001811261676207096,-0.002948469349624793
1778812693.1514347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01016235537827015,0.03195474296808243,0.0076227751560509205,-0.0006823608867260861,0.006186291623016448,0.001683548051811904
1778812693.2014086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00964508019387722,0.03170732781291008,0.007456091232597828,-0.0002875091411350877,0.0059275633346992955,-0.0008285099135161099
1778812693.251416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009622476063668728,0.03169984742999077,0.007472756784409285,0.0006755413697095876,0.004411241095862962,-0.0023392171629103556
1778812693.30142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00962352566421032,0.03171078488230705,0.007476403843611479,-0.004191380543147643,-0.0048041800217171965,0.0058697585670723015
1778812693.3514197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009642134420573711,0.03171192854642868,0.007463518530130386,-0.06367357003260736,-0.030387049617299704,-0.01467320640790169
1778812693.4013662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011027338914573193,0.0324246846139431,0.007925069890916348,0.045967349868704044,0.04121847429960627,0.01985206363664556
1778812693.4515088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010579416528344154,0.0320168137550354,0.007710747420787811,-0.03561072966975644,0.019925280481887294,0.04024647221990718
1778812693.501552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010601242072880268,0.03204123303294182,0.007684993091970682,-0.00047396320377561654,0.0025194939868736156,-0.003400448443557223
1778812693.5514548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010559997521340847,0.03197961300611496,0.007738806307315826,-0.04800158240015303,-0.046971434147404005,-0.01748941109526849
1778812693.6014502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010548040270805359,0.031973134726285934,0.007702811621129513,-0.0017601436712549713,-0.001883212566827865,-0.002583005370047077
1778812693.6514394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010556046850979328,0.03197551891207695,0.007719583809375763,0.0010242527556903408,0.0032984410776468603,0.0016711095070732606
