t_wall,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,ax_ref,ay_ref,az_ref,x_meas,y_meas,z_meas,vx_meas,vy_meas,vz_meas
1776646292.504238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533492848277092,0.009520763531327248,0.006251131650060415,0.002364942834727125,-0.00275037746868365,0.0013059627865903123
1776646292.5546665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009538426995277405,0.009490085765719414,0.0062346188351511955,0.0014513651146757147,-0.004191907881543632,-0.0013742012392809083
1776646292.6042972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009550744667649269,0.009480321779847145,0.00625456590205431,0.0007630460323718644,-0.00407328615996669,0.0031890239827680965
1776646292.6543016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009535117074847221,0.009544122964143753,0.006252400577068329,-0.011062063324162031,0.005191769738792895,0.015207342253611821
1776646292.7042975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009582212194800377,0.009494805708527565,0.006238928996026516,-0.012821858017796884,0.011153447867511178,0.009315374014329348
1776646292.754362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00969683937728405,0.009395008906722069,0.00613672798499465,0.0007324437675525703,-0.004911341770117103,0.00011332457818590202
1776646292.804296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009580602869391441,0.009500326588749886,0.006231593433767557,0.005250697363959741,-0.0017444818669120725,-0.0010563110857070305
1776646292.8542874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00953352265059948,0.009548477828502655,0.006266288459300995,-0.005536934836319706,0.0029501976175146027,0.00261364088017172
1776646292.9042983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095572080463171,0.009516440331935883,0.006225945428013802,0.0029368445773405557,-0.003101425151990855,-7.412967094551785e-05
1776646292.9542964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009623462334275246,0.009485835209488869,0.006131344009190798,0.012554392776828145,-0.007303732892072739,-0.011150195285052202
1776646293.0042958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009592639282345772,0.00948217324912548,0.006140812300145626,0.007558506302625009,-0.005863737771223621,-0.008875504660650126
1776646293.0542974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009554170072078705,0.009478775784373283,0.006229267455637455,0.0044496832860602235,-0.004594081854872017,-0.0018553376620101254
1776646293.1042967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009615646675229073,0.00947592407464981,0.006147574633359909,-0.006999784737927489,0.011816921510320712,-0.00022518211863403834
